pais,tipo_energia,total_gerado,unidade
Colombia,Other Fossil,40.25000000000001,TWh
Norway,Gas,39.650000000000006,TWh
Belarus,Nuclear,39.07,TWh
Ecuador,Gas,38.6,TWh
Botswana,Coal,37.21,TWh
Luxembourg,Gas,36.61000000000001,TWh
Malta,Other Fossil,34.940000000000005,TWh
South Africa,Other Fossil,34.669999999999995,TWh
Peru,Other Fossil,33.82000000000001,TWh
Mali,Other Fossil,33.33,TWh
Martinique,Other Fossil,31.859999999999996,TWh
Switzerland,Other Fossil,31.630000000000003,TWh
New Caledonia,Other Fossil,30.709999999999997,TWh
Uruguay,Other Fossil,30.470000000000006,TWh
Romania,Other Fossil,30.059999999999995,TWh
Kyrgyzstan,Coal,29.390000000000004,TWh
Ukraine,Other Fossil,29.200000000000003,TWh
Oman,Other Fossil,28.650000000000006,TWh
Belarus,Other Fossil,27.849999999999998,TWh
Montenegro,Coal,26.930000000000003,TWh
Slovakia,Other Fossil,26.61999999999999,TWh
Mozambique,Gas,26.419999999999995,TWh
Mauritius,Other Fossil,26.23,TWh
Congo (the),Gas,25.91,TWh
Myanmar,Coal,24.88,TWh
Hungary,Other Fossil,24.699999999999992,TWh
Reunion,Coal,24.59,TWh
Croatia,Other Fossil,23.789999999999992,TWh
Mauritius,Coal,23.280000000000005,TWh
Barbados,Other Fossil,23.28,TWh
Cameroon,Gas,22.97,TWh
Guyana,Other Fossil,22.47,TWh
Guadeloupe,Other Fossil,22.20000000000001,TWh
Virgin Islands (U.S.),Other Fossil,20.329999999999995,TWh
Cameroon,Other Fossil,19.89,TWh
Suriname,Other Fossil,19.509999999999994,TWh
Aruba,Other Fossil,19.24,TWh
Yemen,Gas,18.85,TWh
Macao,Other Fossil,18.240000000000002,TWh
Switzerland,Gas,18.159999999999997,TWh
Burkina Faso,Other Fossil,18.090000000000003,TWh
Gabon,Gas,18.05,TWh
Sweden,Coal,17.650000000000006,TWh
Korea (the Democratic People's Republic of),Other Fossil,17.48,TWh
Mauritania,Other Fossil,17.45,TWh
Sweden,Gas,16.83,TWh
Algeria,Other Fossil,16.49,TWh
New Zealand,Other Fossil,15.88,TWh
Bermuda,Other Fossil,15.730000000000002,TWh
Papua New Guinea,Gas,15.709999999999999,TWh
Cambodia,Other Fossil,15.690000000000001,TWh
Serbia,Gas,15.49,TWh
Madagascar,Other Fossil,15.44,TWh
Reunion,Other Fossil,15.34,TWh
New Caledonia,Coal,14.98,TWh
Peru,Coal,14.630000000000003,TWh
